telemetry_id,node_id,cluster_rack,model_training_job,gpu_utilization_pct,power_draw_watts,temperature_celsius,nvlink_bandwidth_tbps,allreduce_sync_latency_ms,sm_clock_mhz,memory_used_gb,throttle_state
GPU-0023,dgx-h100-n23,Rack-D2,Multimodal-Diffusion-XL,89.8,623.4,76.4,2.44,2.53,1875,72.4,OPTIMAL
GPU-0024,dgx-h100-n24,Rack-A1,Reinforcement-RLHF-V2,86.6,601.9,74.4,2.63,1.2,1733,69,OPTIMAL
GPU-0025,dgx-h100-n25,Rack-A2,Llama-3-405B-Pretrain,76.7,541.5,72.1,2.55,4.26,1841,69.3,OPTIMAL
GPU-0026,dgx-h100-n26,Rack-B1,GPT-4o-Distillation,83.7,575.7,73.4,2.74,5.9,1716,69.2,OPTIMAL
GPU-0027,dgx-h100-n27,Rack-B2,Vision-Transformer-Huge,84.9,590.1,75.8,2.73,1.84,1778,75.4,OPTIMAL
GPU-0028,dgx-h100-n28,Rack-C1,Multimodal-Diffusion-XL,83.1,571.5,73.9,2.51,2.69,1732,69.3,OPTIMAL
GPU-0029,dgx-h100-n29,Rack-C2,Reinforcement-RLHF-V2,85.4,588.4,73,2.51,7.63,1744,73.4,OPTIMAL
GPU-0030,dgx-h100-n30,Rack-D1,Llama-3-405B-Pretrain,94.1,649.9,74.6,2.65,5.52,1811,74.7,OPTIMAL
GPU-0031,dgx-h100-n31,Rack-D2,GPT-4o-Distillation,87.2,608.3,76.2,2.58,5.55,1863,75.6,OPTIMAL
GPU-0032,dgx-h100-n32,Rack-A1,Vision-Transformer-Huge,77.9,542.1,73.2,2.41,6.54,1798,68.5,OPTIMAL
GPU-0033,dgx-h100-n01,Rack-A2,Multimodal-Diffusion-XL,84.5,586.3,75.6,3,1.43,1788,78.3,OPTIMAL
GPU-0034,dgx-h100-n02,Rack-B1,Reinforcement-RLHF-V2,87.2,593.4,75.6,2.89,1.47,1885,78.4,OPTIMAL
GPU-0035,dgx-h100-n03,Rack-B2,Llama-3-405B-Pretrain,82.9,564.3,73.4,3.08,3.19,1781,68.8,OPTIMAL
GPU-0036,dgx-h100-n04,Rack-C1,GPT-4o-Distillation,83.7,568.9,74.2,2.76,1.38,1765,71,OPTIMAL
GPU-0037,dgx-h100-n05,Rack-C2,Vision-Transformer-Huge,94.5,639.3,75.3,3.06,1.86,1805,77,OPTIMAL
GPU-0038,dgx-h100-n06,Rack-D1,Multimodal-Diffusion-XL,92.3,638.7,75.4,3.1,1.22,1771,71.1,OPTIMAL
GPU-0039,dgx-h100-n07,Rack-D2,Reinforcement-RLHF-V2,92.4,632.2,77.1,3.12,3.41,1789,68.7,OPTIMAL
GPU-0040,dgx-h100-n08,Rack-A1,Llama-3-405B-Pretrain,96.2,658.3,78.4,2.61,2.94,1786,70.2,OPTIMAL
GPU-0041,dgx-h100-n09,Rack-A2,GPT-4o-Distillation,76.5,539.1,70.9,3.04,1.23,1736,74.4,OPTIMAL
GPU-0042,dgx-h100-n10,Rack-B1,Vision-Transformer-Huge,80.7,551.7,71.8,2.49,4.57,1875,70,OPTIMAL
GPU-0043,dgx-h100-n11,Rack-B2,Multimodal-Diffusion-XL,88,608.6,72.9,2.83,1.23,1762,72.2,OPTIMAL
GPU-0044,dgx-h100-n12,Rack-C1,Reinforcement-RLHF-V2,62.1,385,68.2,0.12,64.8,1620,78.8,NVLINK_FABRIC_DEGRADED
GPU-0045,dgx-h100-n13,Rack-C2,Llama-3-405B-Pretrain,85.2,582.7,75,2.87,1.22,1846,71,OPTIMAL
GPU-0046,dgx-h100-n14,Rack-D1,GPT-4o-Distillation,89.4,613.9,74.7,2.49,1.5,1815,68.9,OPTIMAL
GPU-0047,dgx-h100-n15,Rack-D2,Vision-Transformer-Huge,85.6,585.7,72.4,2.55,6.16,1734,76.6,OPTIMAL
GPU-0048,dgx-h100-n16,Rack-A1,Multimodal-Diffusion-XL,81,553,72.9,3.13,6.24,1742,73.4,OPTIMAL
GPU-0049,dgx-h100-n17,Rack-A2,Reinforcement-RLHF-V2,80.4,561.2,71.5,2.66,6.9,1755,68.7,OPTIMAL
GPU-0050,dgx-h100-n18,Rack-B1,Llama-3-405B-Pretrain,88.9,617.2,76,3.15,5.54,1817,72.5,OPTIMAL
GPU-0051,dgx-h100-n19,Rack-B2,GPT-4o-Distillation,75.3,529.2,71,2.76,3.13,1800,72.3,OPTIMAL
GPU-0052,dgx-h100-n20,Rack-C1,Vision-Transformer-Huge,75.1,518.9,73,2.47,6.06,1808,78,OPTIMAL
GPU-0053,dgx-h100-n21,Rack-C2,Multimodal-Diffusion-XL,80.3,554,73.9,3.01,1.2,1809,68.5,OPTIMAL
GPU-0054,dgx-h100-n22,Rack-D1,Reinforcement-RLHF-V2,82.3,561,71.9,2.67,1.7,1800,79.1,OPTIMAL
GPU-0055,dgx-h100-n23,Rack-D2,Llama-3-405B-Pretrain,97.8,656.9,77.4,2.73,1.26,1791,71.4,OPTIMAL
GPU-0056,dgx-h100-n24,Rack-A1,GPT-4o-Distillation,91.6,628.5,75.8,2.96,5.07,1809,76.5,OPTIMAL
GPU-0057,dgx-h100-n25,Rack-A2,Vision-Transformer-Huge,79.5,554,72.5,2.97,1.48,1787,68.1,OPTIMAL
GPU-0058,dgx-h100-n26,Rack-B1,Multimodal-Diffusion-XL,93.3,630.9,77.3,3.01,1.31,1763,68.6,OPTIMAL
GPU-0059,dgx-h100-n27,Rack-B2,Reinforcement-RLHF-V2,87.8,606,73.7,2.71,2.05,1727,68.9,OPTIMAL
GPU-0060,dgx-h100-n28,Rack-C1,Llama-3-405B-Pretrain,90.4,620.7,75.7,2.58,6.19,1770,78.3,OPTIMAL
GPU-0061,dgx-h100-n29,Rack-C2,GPT-4o-Distillation,87.9,599.1,73.3,2.72,1.79,1741,75,OPTIMAL
GPU-0062,dgx-h100-n30,Rack-D1,Vision-Transformer-Huge,98.1,677.2,75.5,2.94,1.88,1836,76.7,OPTIMAL
GPU-0063,dgx-h100-n31,Rack-D2,Multimodal-Diffusion-XL,97,656.6,78.2,2.96,2.71,1796,78.5,OPTIMAL
GPU-0064,dgx-h100-n32,Rack-A1,Reinforcement-RLHF-V2,82.3,574.7,71.6,3.06,1.25,1717,72,OPTIMAL
GPU-0065,dgx-h100-n01,Rack-A2,Llama-3-405B-Pretrain,90.2,617.6,74.1,2.45,1.66,1856,75.4,OPTIMAL
GPU-0066,dgx-h100-n02,Rack-B1,GPT-4o-Distillation,79.6,549.2,71.2,2.85,5.22,1771,70.2,OPTIMAL
GPU-0067,dgx-h100-n03,Rack-B2,Vision-Transformer-Huge,97.8,662.8,76.9,3.02,6.96,1742,78.9,OPTIMAL
GPU-0068,dgx-h100-n04,Rack-C1,Multimodal-Diffusion-XL,80.5,552.2,70.5,2.67,5.47,1888,72,OPTIMAL
GPU-0069,dgx-h100-n05,Rack-C2,Reinforcement-RLHF-V2,79.5,552.2,70.6,2.58,1.26,1884,73.9,OPTIMAL
GPU-0070,dgx-h100-n06,Rack-D1,Llama-3-405B-Pretrain,77.1,548.5,73.2,2.7,1.66,1752,74.1,OPTIMAL
GPU-0071,dgx-h100-n07,Rack-D2,GPT-4o-Distillation,81.2,562.1,72,2.81,5.26,1770,71.6,OPTIMAL
GPU-0072,dgx-h100-n08,Rack-A1,Vision-Transformer-Huge,83.3,584,72.7,2.71,1.32,1778,79.2,OPTIMAL
GPU-0073,dgx-h100-n09,Rack-A2,Multimodal-Diffusion-XL,97.6,661.3,77.2,2.64,1.2,1763,76.6,OPTIMAL
GPU-0074,dgx-h100-n10,Rack-B1,Reinforcement-RLHF-V2,94.8,648.7,76.2,2.81,6.03,1822,74,OPTIMAL
GPU-0075,dgx-h100-n11,Rack-B2,Llama-3-405B-Pretrain,95.5,648.2,77.1,3.05,1.8,1863,78.9,OPTIMAL
GPU-0076,dgx-h100-n12,Rack-C1,GPT-4o-Distillation,95,657.2,76.4,2.89,6.88,1722,68.3,OPTIMAL
GPU-0077,dgx-h100-n13,Rack-C2,Vision-Transformer-Huge,97.7,668.9,75.5,2.42,2.74,1717,70.3,OPTIMAL
GPU-0078,dgx-h100-n14,Rack-D1,Multimodal-Diffusion-XL,92.3,628.3,74.1,3.14,1.2,1772,70.1,OPTIMAL
GPU-0079,dgx-h100-n15,Rack-D2,Reinforcement-RLHF-V2,93.7,639.5,76.9,2.7,2.56,1886,72.5,OPTIMAL
GPU-0080,dgx-h100-n16,Rack-A1,Llama-3-405B-Pretrain,78.6,552.8,72.1,2.64,1.72,1785,74.6,OPTIMAL
GPU-0081,dgx-h100-n17,Rack-A2,GPT-4o-Distillation,89.8,609.2,73.6,2.64,6.45,1785,73.6,OPTIMAL
GPU-0082,dgx-h100-n18,Rack-B1,Vision-Transformer-Huge,86.6,601.6,74.5,2.46,1.27,1836,73.9,OPTIMAL
GPU-0083,dgx-h100-n19,Rack-B2,Multimodal-Diffusion-XL,14.2,185,44.5,0.05,3.2,1200,12,PIPELINE_BUBBLE_STARVED
GPU-0084,dgx-h100-n20,Rack-C1,Reinforcement-RLHF-V2,93.3,634.7,75.5,2.63,1.49,1737,70.2,OPTIMAL
GPU-0085,dgx-h100-n21,Rack-C2,Llama-3-405B-Pretrain,83.6,586.2,75.4,2.74,6.11,1734,78.9,OPTIMAL
GPU-0086,dgx-h100-n22,Rack-D1,GPT-4o-Distillation,96.9,655.5,77.5,2.6,1.84,1866,71.6,OPTIMAL
GPU-0087,dgx-h100-n23,Rack-D2,Vision-Transformer-Huge,80.7,562.1,74.5,2.82,1.2,1840,69,OPTIMAL
GPU-0088,dgx-h100-n24,Rack-A1,Multimodal-Diffusion-XL,98.2,661,77.2,2.83,4.49,1814,71.9,OPTIMAL
GPU-0089,dgx-h100-n25,Rack-A2,Reinforcement-RLHF-V2,96,646.1,76.1,2.59,1.2,1757,77,OPTIMAL
GPU-0090,dgx-h100-n26,Rack-B1,Llama-3-405B-Pretrain,78.4,540.3,73.3,2.51,1.25,1857,75.5,OPTIMAL
GPU-0091,dgx-h100-n27,Rack-B2,GPT-4o-Distillation,75.6,527.5,70.9,2.57,2.57,1868,79.4,OPTIMAL
GPU-0092,dgx-h100-n28,Rack-C1,Vision-Transformer-Huge,79.1,552.4,71.5,3.09,4.71,1852,76.4,OPTIMAL
GPU-0093,dgx-h100-n29,Rack-C2,Multimodal-Diffusion-XL,84.6,576.2,71.8,3.01,1.91,1841,75.7,OPTIMAL
GPU-0094,dgx-h100-n30,Rack-D1,Reinforcement-RLHF-V2,77,537.8,71.5,2.69,4.8,1821,71.1,OPTIMAL
GPU-0095,dgx-h100-n31,Rack-D2,Llama-3-405B-Pretrain,83.3,580.3,74.6,3.05,6.43,1827,74.2,OPTIMAL
GPU-0096,dgx-h100-n32,Rack-A1,GPT-4o-Distillation,84.5,575,74.9,2.89,2.16,1779,72,OPTIMAL
GPU-0097,dgx-h100-n01,Rack-A2,Vision-Transformer-Huge,75.2,528.1,70.1,2.92,4.63,1831,78.3,OPTIMAL
GPU-0098,dgx-h100-n02,Rack-B1,Multimodal-Diffusion-XL,89,618.9,73,3.13,3.63,1752,70.8,OPTIMAL
GPU-0099,dgx-h100-n03,Rack-B2,Reinforcement-RLHF-V2,86.3,601.1,72.9,3.05,7.08,1881,77.6,OPTIMAL
GPU-0100,dgx-h100-n04,Rack-C1,Llama-3-405B-Pretrain,87.7,600.4,74.6,2.69,4.57,1883,76.8,OPTIMAL
