planet_id,planet_name,host_star,discovery_method,orbital_period_days,semi_major_axis_au,equilibrium_temp_kelvin,planet_mass_earth,planet_radius_earth,stellar_luminosity_solar,habitability_score,atmospheric_density_bar,spectroscopy_snr,cluster_cohort
PLN-0020,Trappist-1-d,Trappist-1,Transit,7.42,0.074,1127.2,1.42,0.61,1.48,0.1,1.88,54.6,Rocky Terrestrial
PLN-0021,Kepler-452-e,Kepler-452,Radial Velocity,1.27,0.023,1795.3,2.53,1.85,0.92,0.06,1.81,58.8,Super-Earth
PLN-0022,HD-209458-f,HD-209458,Direct Imaging,5.99,0.065,982.8,15.73,2.79,0.66,0.05,13.25,33.3,Sub-Neptune
PLN-0023,Proxima-g,Proxima,Transit Timing,4.08,0.05,1474.8,138.37,12.3,1.98,0,35.71,71,Hot Jupiter
PLN-0024,TOI-700-b,TOI-700,Transit,1.28,0.023,1754.9,150.06,9.94,0.84,0,18.41,82.2,Gas Giant
PLN-0025,WASP-121-c,WASP-121,Radial Velocity,105.29,0.436,446.1,0.92,0.89,1.26,0.07,0.93,45.3,Rocky Terrestrial
PLN-0026,K2-18-d,K2-18,Direct Imaging,10.17,0.092,909.6,4.08,1.48,0.97,0.02,4.42,46.6,Super-Earth
PLN-0027,Gliese-667C-e,Gliese-667C,Transit Timing,0.54,0.013,1876.3,18.73,2.48,0.83,0.05,17.05,79.3,Sub-Neptune
PLN-0028,LHS-1140-f,LHS-1140,Transit,613.23,1.413,264.3,154.92,11.31,1.63,0,19.86,76.6,Hot Jupiter
PLN-0029,Beta-Pictoris-g,Beta-Pictoris,Radial Velocity,199.29,0.668,403,204.91,12.08,1.97,0,43.73,78,Gas Giant
PLN-0030,Trappist-1-b,Trappist-1,Direct Imaging,1.24,0.023,2001,1.5,1.19,1.42,0.03,1.06,22.6,Rocky Terrestrial
PLN-0031,Kepler-452-c,Kepler-452,Transit Timing,27.37,0.178,556.8,5.54,1.32,0.51,0.12,2.5,34.1,Super-Earth
PLN-0032,HD-209458-d,HD-209458,Transit,6.03,0.065,1214.7,16.29,4.39,1.54,0.05,12.63,49.4,Sub-Neptune
PLN-0033,Proxima-e,Proxima,Radial Velocity,54.87,0.283,612.7,271.71,10.99,1.89,0,14.27,69,Hot Jupiter
PLN-0034,TOI-700-f,TOI-700,Direct Imaging,1.53,0.026,1815.7,322.82,10.24,1.23,0,29.46,34.4,Gas Giant
PLN-0035,WASP-121-g,WASP-121,Transit Timing,204.38,0.679,343.1,1.08,0.91,1.07,0.01,1.53,63.8,Rocky Terrestrial
PLN-0036,K2-18-b,K2-18,Transit,1.54,0.026,1951.1,3.21,1.24,1.64,0.07,4.45,82.6,Super-Earth
PLN-0037,Gliese-667C-c,Gliese-667C,Radial Velocity,25.94,0.171,489,20.92,2.95,0.28,0.05,11.48,43.9,Sub-Neptune
PLN-0038,LHS-1140-d,LHS-1140,Direct Imaging,8.29,0.08,1125.6,430.79,13.94,1.72,0,37.66,23.4,Hot Jupiter
PLN-0039,Beta-Pictoris-e,Beta-Pictoris,Transit Timing,111.06,0.452,374.1,327.06,8.15,0.67,0,33.42,61.4,Gas Giant
PLN-0040,Trappist-1-f,Trappist-1,Transit,326.4,0.928,273.8,1.36,1.18,0.81,0.74,1.26,77.6,Rocky Terrestrial
PLN-0041,Kepler-452-g,Kepler-452,Radial Velocity,0.6,0.014,1417,5.35,1.64,0.27,0.06,3.68,63.2,Super-Earth
PLN-0042,HD-209458-b,HD-209458,Direct Imaging,36.94,0.217,639.7,10.59,3.94,1.32,0.05,16.09,83.1,Sub-Neptune
PLN-0043,Proxima-c,Proxima,Transit Timing,12.18,0.104,667.7,248.91,14.38,0.36,0,58.45,46.3,Hot Jupiter
PLN-0044,TOI-700-d,TOI-700,Transit,5.73,0.063,1313.8,408.6,10.43,1.98,0,25.35,24.6,Gas Giant
PLN-0045,WASP-121-e,WASP-121,Radial Velocity,472.4,1.187,274,1.41,1.05,1.33,0.86,0.66,50.9,Rocky Terrestrial
PLN-0046,K2-18-f,K2-18,Direct Imaging,0.76,0.016,1817,3.5,1.54,0.73,0.11,4.39,35.8,Super-Earth
PLN-0047,Gliese-667C-g,Gliese-667C,Transit Timing,384.8,1.04,288.4,1.62,1.18,1.05,0.94,1.02,92.1,Sub-Neptune
PLN-0048,LHS-1140-b,LHS-1140,Transit,11.82,0.102,982,331.12,11.21,1.62,0,50.05,72.7,Hot Jupiter
PLN-0049,Beta-Pictoris-c,Beta-Pictoris,Radial Velocity,3.63,0.046,1136,346.16,9.51,0.59,0,29.02,35.7,Gas Giant
PLN-0050,Trappist-1-d,Trappist-1,Direct Imaging,49.57,0.264,435.6,1.02,0.82,0.42,0.03,1.36,45.3,Rocky Terrestrial
PLN-0051,Kepler-452-e,Kepler-452,Transit Timing,9.07,0.085,1116.5,1.72,1.28,1.88,0.04,4.28,75,Super-Earth
PLN-0052,HD-209458-f,HD-209458,Transit,24.09,0.163,466.1,23.82,2.96,0.21,0.05,5.94,30.2,Sub-Neptune
PLN-0053,Proxima-g,Proxima,Radial Velocity,8.68,0.083,695.6,172.54,12.45,0.27,0,19.95,23.3,Hot Jupiter
PLN-0054,TOI-700-b,TOI-700,Direct Imaging,87.74,0.386,500.9,93.02,13.66,1.57,0,37.48,52.9,Gas Giant
PLN-0055,WASP-121-c,WASP-121,Transit Timing,144.14,0.538,449.6,0.65,1.04,1.98,0.06,1.35,63.2,Rocky Terrestrial
PLN-0056,K2-18-d,K2-18,Transit,2.44,0.035,1455.3,6.18,1.68,0.92,0.04,4.22,42.7,Super-Earth
PLN-0057,Gliese-667C-e,Gliese-667C,Radial Velocity,18.11,0.135,776.6,14.76,3.8,1.11,0.05,15.65,77,Sub-Neptune
PLN-0058,LHS-1140-f,LHS-1140,Direct Imaging,12.53,0.106,849.6,192.44,8.94,0.98,0,32.02,68.9,Hot Jupiter
PLN-0059,Beta-Pictoris-g,Beta-Pictoris,Transit Timing,582.58,1.365,271.3,332.57,11.36,1.69,0,10.26,81,Gas Giant
PLN-0060,Trappist-1-b,Trappist-1,Transit,28.76,0.184,560.6,1.19,0.82,0.56,0.09,0.67,29.2,Rocky Terrestrial
PLN-0061,Kepler-452-c,Kepler-452,Radial Velocity,5.23,0.059,1338.4,7.51,1.75,1.87,0.11,2.86,50,Super-Earth
PLN-0062,HD-209458-d,HD-209458,Direct Imaging,33.87,0.205,663.1,12.37,3.85,1.36,0.05,13.93,32.3,Sub-Neptune
PLN-0063,Proxima-e,Proxima,Transit Timing,1.87,0.03,1824.6,210.43,13.52,1.67,0,56.93,77.6,Hot Jupiter
PLN-0064,TOI-700-f,TOI-700,Transit,7.14,0.073,970,169.86,11.65,0.79,0,48.8,72.5,Gas Giant
PLN-0065,WASP-121-g,WASP-121,Radial Velocity,261.01,0.799,299.5,0.38,0.72,0.86,0.7,1.62,71.4,Rocky Terrestrial
PLN-0066,K2-18-b,K2-18,Direct Imaging,49.67,0.264,607.6,3.65,1.7,1.59,0.12,1.61,45.5,Super-Earth
PLN-0067,Gliese-667C-c,Gliese-667C,Transit Timing,7.09,0.072,1196.7,19.74,2.67,1.78,0.05,8.83,82.8,Sub-Neptune
PLN-0068,LHS-1140-d,LHS-1140,Transit,109.85,0.449,406.3,263.72,8.81,0.92,0,13.39,33.1,Hot Jupiter
PLN-0069,Beta-Pictoris-e,Beta-Pictoris,Radial Velocity,243.47,0.763,355.1,190.89,8.06,1.55,0,10.73,34.1,Gas Giant
PLN-0070,Trappist-1-f,Trappist-1,Direct Imaging,3.57,0.046,1384,1.39,0.85,1.3,0.09,1.8,24.5,Rocky Terrestrial
PLN-0071,Kepler-452-g,Kepler-452,Transit Timing,591.95,1.38,210,8.36,1.65,0.62,0.48,1.65,54.6,Super-Earth
PLN-0072,HD-209458-b,HD-209458,Transit,23.67,0.161,707.9,10.91,4.2,1.09,0.05,17.61,69.1,Sub-Neptune
PLN-0073,Proxima-c,Proxima,Radial Velocity,173.17,0.608,368.4,180.13,9.43,1.14,0,13.46,84.4,Hot Jupiter
PLN-0074,TOI-700-d,TOI-700,Direct Imaging,2.19,0.033,1784.8,445.37,11.67,1.85,0,51.11,29.6,Gas Giant
PLN-0075,WASP-121-e,WASP-121,Transit Timing,95.43,0.409,396.2,1.44,0.71,0.69,0.2,0.53,81.8,Rocky Terrestrial
PLN-0076,K2-18-f,K2-18,Transit,369.1,1.007,313.5,7.7,1.98,1.64,0.5,3.06,31.3,Super-Earth
PLN-0077,Gliese-667C-g,Gliese-667C,Radial Velocity,1.41,0.025,1775.6,25.43,3.91,1.04,0.05,5.81,32.5,Sub-Neptune
PLN-0078,LHS-1140-b,LHS-1140,Direct Imaging,329.4,0.933,257.4,218.67,12.93,0.64,0,25.82,34.9,Hot Jupiter
PLN-0079,Beta-Pictoris-c,Beta-Pictoris,Transit Timing,20.93,0.149,569.1,186.26,14.49,0.39,0,33.43,34.3,Gas Giant
PLN-0080,Trappist-1-d,Trappist-1,Transit,51.99,0.273,599.3,0.93,1.01,1.61,0.06,1.53,46.7,Rocky Terrestrial
PLN-0081,Kepler-452-e,Kepler-452,Radial Velocity,373.63,1.015,293.5,5.03,1.85,1.28,0.57,5.38,36.4,Super-Earth
PLN-0082,HD-209458-f,HD-209458,Direct Imaging,93.63,0.404,292.5,24.07,2.62,0.2,0.05,16.97,41.8,Sub-Neptune
PLN-0083,Proxima-g,Proxima,Transit Timing,0.93,0.019,1914.7,389.15,14.04,0.9,0,25.93,75.7,Hot Jupiter
PLN-0084,TOI-700-b,TOI-700,Transit,3.28,0.043,1400.2,412.4,10.74,1.19,0,47.25,58.8,Gas Giant
PLN-0085,WASP-121-c,WASP-121,Radial Velocity,0.68,0.015,2122.8,1.28,1.04,1.36,0.04,1.52,32.9,Rocky Terrestrial
PLN-0086,K2-18-d,K2-18,Direct Imaging,58.43,0.295,516.9,5.69,1.77,1.04,0.14,2.31,26.9,Super-Earth
PLN-0087,Gliese-667C-e,Gliese-667C,Transit Timing,103.56,0.432,471.2,16.36,2.87,1.54,0.05,11.19,72.2,Sub-Neptune
PLN-0088,LHS-1140-f,LHS-1140,Transit,4200,5.25,48,1850,14.2,0.65,0,48.5,34.2,Hot Jupiter
PLN-0089,Beta-Pictoris-g,Beta-Pictoris,Radial Velocity,120.06,0.476,475.5,151.06,12.02,1.94,0,52.32,28.9,Gas Giant
PLN-0090,Trappist-1-b,Trappist-1,Direct Imaging,8.95,0.084,910,0.64,0.86,0.81,0.04,1.59,27.3,Rocky Terrestrial
PLN-0091,Kepler-452-c,Kepler-452,Transit Timing,307.21,0.891,231.2,5.42,1.77,0.38,0.74,2.18,46.6,Super-Earth
PLN-0092,HD-209458-d,HD-209458,Transit,0.96,0.019,2149.6,11.05,2.23,1.43,0.05,8.09,35.4,Sub-Neptune
PLN-0093,Proxima-e,Proxima,Radial Velocity,342.19,0.957,215.4,85.33,10.61,0.33,0,25.5,70.7,Hot Jupiter
PLN-0094,TOI-700-f,TOI-700,Direct Imaging,9.89,0.09,998.9,111.02,9.15,1.35,0,55.85,75.8,Gas Giant
PLN-0095,WASP-121-g,WASP-121,Transit Timing,256.59,0.79,315.9,1.06,0.86,1.04,0.82,0.74,49.4,Rocky Terrestrial
PLN-0096,K2-18-b,K2-18,Transit,75.03,0.348,500.3,3.77,1.52,1.27,0.1,1.67,53.2,Super-Earth
PLN-0097,Gliese-667C-c,Gliese-667C,Radial Velocity,237.67,0.751,351.4,18.68,4.26,1.44,0.05,15.09,48.6,Sub-Neptune
PLN-0098,LHS-1140-d,LHS-1140,Direct Imaging,2.47,0.036,1555.4,414.83,8.16,1.27,0,23.08,58.5,Hot Jupiter
PLN-0099,Beta-Pictoris-e,Beta-Pictoris,Transit Timing,114.98,0.463,397.9,352.12,13.03,0.9,0,59.73,77.6,Gas Giant
PLN-0100,Trappist-1-f,Trappist-1,Transit,356.79,0.984,278.1,1.22,0.79,0.97,0.82,0.71,22.9,Rocky Terrestrial
