buoy_id,ocean_basin,latitude,longitude,sensor_depth_meters,sea_surface_temp_celsius,salinity_psu,dissolved_oxygen_umol_kg,wave_height_meters,atmospheric_pressure_hpa,carbon_flux_mmol_m2,anomaly_flag
BUOY-0034,Indian Ocean,-3.89,60.21,422.6,7.9,34.3,60.6,4.42,1015,-5.04,NORMAL
BUOY-0035,Arctic Ocean,78.68,23.13,457.5,2.59,34.65,116.6,1.08,1001.6,2.7,NORMAL
BUOY-0036,North Pacific,41.95,-153.81,264.4,12.01,33.95,82.4,1.32,997.5,-3.31,NORMAL
BUOY-0037,Equatorial Pacific,3.51,-119.06,83.6,18.54,33.4,173,0.96,1015.4,0.59,NORMAL
BUOY-0038,North Atlantic,58.25,-21.55,1055.1,1.89,35.26,252.2,4.84,1004.5,-0.86,NORMAL
BUOY-0039,Southern Ocean,-56.52,-81.49,1135,1.69,35.23,271.5,5.02,1014.4,1.74,NORMAL
BUOY-0040,Indian Ocean,-9.82,84.62,839.8,3.1,34.82,303.4,4.57,1020.7,1.72,NORMAL
BUOY-0041,Arctic Ocean,77.84,-1.41,801.6,2.77,34.72,266.7,4.79,1006.8,-4.21,NORMAL
BUOY-0042,North Pacific,40.69,-152.20,5,23.44,33.51,213.4,3.61,1007.8,-1.73,NORMAL
BUOY-0043,Equatorial Pacific,-58.80,-65.40,12,-1.2,34.1,345,14.8,964.5,-12.4,SEVERE_CYCLONE_WAVE
BUOY-0044,North Atlantic,44.12,-23.88,238.6,13.06,34.12,51.3,4.7,1012.9,2.32,NORMAL
BUOY-0045,Southern Ocean,-52.16,-36.98,898.4,1.35,35.13,299.1,2.9,1012.1,-2.93,NORMAL
BUOY-0046,Indian Ocean,3.79,62.66,100.2,18.64,33.57,189.5,4.56,1012.1,-1.6,NORMAL
BUOY-0047,Arctic Ocean,75.04,-13.88,804.8,3.07,35.05,296,4.96,1013.6,-3.25,NORMAL
BUOY-0048,North Pacific,39.57,-146.60,671.4,5.04,34.83,85.2,1.19,1006.8,-1.8,NORMAL
BUOY-0049,Equatorial Pacific,1.67,-104.63,1122.4,2.45,35.6,260.4,2.69,997.1,-2.75,NORMAL
BUOY-0050,North Atlantic,49.13,-24.15,68.8,20.24,33.6,228.2,2.68,1014,-2.72,NORMAL
BUOY-0051,Southern Ocean,-58.04,-38.79,780.2,2.06,35.12,274.9,1.53,996.5,-4.09,NORMAL
BUOY-0052,Indian Ocean,1.31,93.89,200.8,12.81,34.26,34.3,1.12,996.9,4.89,NORMAL
BUOY-0053,Arctic Ocean,80.06,33.28,1188.2,3.03,35.32,269.1,4.79,1001.9,-4.99,NORMAL
BUOY-0054,North Pacific,47.84,-141.72,176.8,13.75,33.86,53.4,3.26,1010.9,4.77,NORMAL
BUOY-0055,Equatorial Pacific,4.40,-133.84,12.6,22.3,33.46,180.3,1.26,1000.1,4.93,NORMAL
BUOY-0056,North Atlantic,46.54,-26.17,283.9,10.54,33.67,88.9,3.66,1004.8,-2.25,NORMAL
BUOY-0057,Southern Ocean,-56.27,-63.43,1082.2,2.51,35.55,279.1,5,1014.4,1.73,NORMAL
BUOY-0058,Indian Ocean,0.20,83.71,519.3,6.75,34.7,31.2,4.61,1022.9,4.91,NORMAL
BUOY-0059,Arctic Ocean,78.95,30.24,10.4,6.54,33.55,222.5,4.8,997.6,4.79,NORMAL
BUOY-0060,North Pacific,49.95,-130.40,127.7,16.43,33.45,174.9,3.85,1019.2,2.91,NORMAL
BUOY-0061,Equatorial Pacific,-0.85,-128.76,56.7,22.73,33.85,170.6,3.33,1005.8,0.72,NORMAL
BUOY-0062,North Atlantic,57.44,-15.60,5,7.64,33.23,191.5,3.81,1003.6,-5.91,NORMAL
BUOY-0063,Southern Ocean,-51.93,40.94,151.9,5.43,34.19,48.5,1.78,1006,1.63,NORMAL
BUOY-0064,Indian Ocean,2.24,69.59,175.7,14.62,34.21,74.4,4.66,1021.8,-5.27,NORMAL
BUOY-0065,Arctic Ocean,72.25,19.09,37.9,5.99,33.33,199.2,2.86,1022,-2.86,NORMAL
BUOY-0066,North Pacific,43.05,-139.23,5.2,23.35,33.37,209.2,4.54,1021.7,0.16,NORMAL
BUOY-0067,Equatorial Pacific,-1.77,-108.25,279.6,12.09,34.12,49.8,3.44,998.7,-5.18,NORMAL
BUOY-0068,North Atlantic,45.90,-20.64,761.9,3.87,34.78,258.3,2.25,1021.7,0.03,NORMAL
BUOY-0069,Southern Ocean,-56.08,6.19,128.5,5.23,33.73,211.3,4.26,1018.4,-2.59,NORMAL
BUOY-0070,Indian Ocean,-1.51,93.05,10.8,25.4,33.47,172.1,1.35,999.9,3.65,NORMAL
BUOY-0071,Arctic Ocean,73.33,30.38,63.2,6.73,33.38,217.9,3.76,1002.4,-5.52,NORMAL
BUOY-0072,North Pacific,48.96,-138.79,118.9,16.4,33.41,195.4,2.49,1009.9,-5.26,NORMAL
BUOY-0073,Equatorial Pacific,2.26,-102.67,397.2,9.05,34.07,31.5,2.93,1018.8,1.58,NORMAL
BUOY-0074,North Atlantic,46.84,-40.81,192.4,13.83,33.64,37.4,2.52,996.9,-2.04,NORMAL
BUOY-0075,Southern Ocean,-58.96,-86.42,177.7,4.41,33.57,138.4,3.86,1006,4.97,NORMAL
BUOY-0076,Indian Ocean,-6.31,75.51,125.8,17.64,33.58,172.5,3.88,999.1,0.33,NORMAL
BUOY-0077,Arctic Ocean,72.86,-17.34,40.3,7,33.53,208,2.38,997.7,1.05,NORMAL
BUOY-0078,North Pacific,39.67,-134.80,1167,2.61,35.35,296.4,1.78,1014.8,-3.55,NORMAL
BUOY-0079,Equatorial Pacific,-4.18,-121.52,347.1,10.54,33.76,38.2,2.66,1015,1.24,NORMAL
BUOY-0080,North Atlantic,50.10,-43.19,449.8,3.99,33.96,122.2,3.69,998.7,4.58,NORMAL
BUOY-0081,Southern Ocean,78.40,14.20,850,-1.6,37.8,295,2.4,1022,-4.2,DENSE_WATER_SINK
BUOY-0082,Indian Ocean,-11.66,90.91,997.4,2.5,34.75,286.2,2.06,997,-0.81,NORMAL
BUOY-0083,Arctic Ocean,78.56,38.80,1111.9,1.49,35.61,257.7,4.86,1013.7,3.77,NORMAL
BUOY-0084,North Pacific,49.24,-142.32,455.3,6.39,34.57,73.2,4.65,1005.7,-5.11,NORMAL
BUOY-0085,Equatorial Pacific,4.51,-131.28,1050.6,3.04,35.52,287.2,4,995.7,-0.99,NORMAL
BUOY-0086,North Atlantic,58.25,-36.24,766.7,2.64,34.62,253.8,2.98,996.8,2.98,NORMAL
BUOY-0087,Southern Ocean,-54.43,38.11,536.3,3.24,34.27,128.9,1.44,1010.4,1.92,NORMAL
BUOY-0088,Indian Ocean,5.09,89.76,1079.5,3.36,35.19,253.8,4.12,998.6,-4.67,NORMAL
BUOY-0089,Arctic Ocean,76.23,-4.53,221.9,3.79,33.9,142.8,1.35,1001.1,3.06,NORMAL
BUOY-0090,North Pacific,45.45,-157.60,1133.2,2.61,35.39,258.6,2.15,1022.7,3.14,NORMAL
BUOY-0091,Equatorial Pacific,-4.15,-122.51,153,17.12,33.79,53.4,1.79,996.5,2.01,NORMAL
BUOY-0092,North Atlantic,47.58,-19.27,8.2,22.57,33.67,211.5,3.6,1010.7,2.95,NORMAL
BUOY-0093,Southern Ocean,-50.45,46.05,7.9,6.61,33.86,211,2.04,1021.8,-2.7,NORMAL
BUOY-0094,Indian Ocean,-11.07,82.46,92.2,20.41,33.57,208.8,1.19,997.6,-1.34,NORMAL
BUOY-0095,Arctic Ocean,76.87,-3.81,61.6,5.89,33.98,225.4,3.48,999.8,0.36,NORMAL
BUOY-0096,North Pacific,45.89,-141.80,259.1,11.16,34.11,63.9,4.89,1012.3,3.4,NORMAL
BUOY-0097,Equatorial Pacific,-4.71,-123.12,524,6.47,34.38,32.6,4.15,1000.1,2.26,NORMAL
BUOY-0098,North Atlantic,46.33,-39.52,471.8,7.53,34.06,59.9,1.01,1012.3,-5.56,NORMAL
BUOY-0099,Southern Ocean,-52.57,-78.91,159.3,4.01,33.68,127.7,1.14,1007.5,3.9,NORMAL
BUOY-0100,Indian Ocean,1.93,80.01,107.3,17.03,33.8,196.2,5.08,1020.6,-5.22,NORMAL
